Nodes,ID,Label,ColorOfNodes
ABpl,1,ABpl,"239,187,60"
ABpla,2,ABpla,"239,187,60"
ABplap,3,ABplap,"239,187,60"
ABplapa,4,ABplapa,"239,187,60"
ABplapp,5,ABplapp,"239,187,60"
ABplaa,6,ABplaa,"239,187,60"
ABplaaa,7,ABplaaa,"239,187,60"
ABplaap,8,ABplaap,"239,187,60"
ABplp,9,ABplp,"239,187,60"
ABplpp,10,ABplpp,"239,187,60"
ABplppa,11,ABplppa,"239,187,60"
ABplppp,12,ABplppp,"239,187,60"
ABplpa,13,ABplpa,"239,187,60"
ABplpaa,14,ABplpaa,"239,187,60"
ABplpap,15,ABplpap,"239,187,60"
ABpr,16,ABpr,"239,187,60"
ABprp,17,ABprp,"239,187,60"
ABprpa,18,ABprpa,"239,187,60"
ABprpaa,19,ABprpaa,"239,187,60"
ABprpap,20,ABprpap,"239,187,60"
ABprpp,21,ABprpp,"239,187,60"
ABprppa,22,ABprppa,"239,187,60"
ABprppp,23,ABprppp,"239,187,60"
ABpra,24,ABpra,"239,187,60"
ABprap,25,ABprap,"239,187,60"
ABprapp,26,ABprapp,"239,187,60"
ABprapa,27,ABprapa,"239,187,60"
ABpraa,28,ABpraa,"239,187,60"
ABpraaa,29,ABpraaa,"239,187,60"
ABpraap,30,ABpraap,"239,187,60"
ABar,31,ABar,"239,187,60"
ABara,32,ABara,"239,187,60"
ABarap,33,ABarap,"239,187,60"
ABarapp,34,ABarapp,"239,187,60"
ABarapa,35,ABarapa,"239,187,60"
ABaraa,36,ABaraa,"239,187,60"
ABaraap,37,ABaraap,"239,187,60"
ABaraaa,38,ABaraaa,"239,187,60"
ABarp,39,ABarp,"239,187,60"
ABarpp,40,ABarpp,"239,187,60"
ABarppa,41,ABarppa,"239,187,60"
ABarppp,42,ABarppp,"239,187,60"
ABarpa,43,ABarpa,"239,187,60"
ABarpap,44,ABarpap,"239,187,60"
ABarpaa,45,ABarpaa,"239,187,60"
ABal,46,ABal,"239,187,60"
ABala,47,ABala,"239,187,60"
ABalaa,48,ABalaa,"239,187,60"
ABalaaa,49,ABalaaa,"239,187,60"
ABalaap,50,ABalaap,"239,187,60"
ABalap,51,ABalap,"239,187,60"
ABalapa,52,ABalapa,"239,187,60"
ABalapp,53,ABalapp,"239,187,60"
ABalp,54,ABalp,"239,187,60"
ABalpp,55,ABalpp,"239,187,60"
ABalppa,56,ABalppa,"239,187,60"
ABalppp,57,ABalppp,"239,187,60"
ABalpa,58,ABalpa,"239,187,60"
ABalpaa,59,ABalpaa,"239,187,60"
ABalpap,60,ABalpap,"239,187,60"
MS,61,MS,"158,99,170"
MSp,62,MSp,"158,99,170"
MSpp,63,MSpp,"158,99,170"
MSppp,64,MSppp,"158,99,170"
MSppa,65,MSppa,"158,99,170"
MSpa,66,MSpa,"158,99,170"
MSpaa,67,MSpaa,"158,99,170"
MSpap,68,MSpap,"158,99,170"
MSa,69,MSa,"158,99,170"
MSap,70,MSap,"158,99,170"
MSapa,71,MSapa,"158,99,170"
MSapp,72,MSapp,"158,99,170"
MSaa,73,MSaa,"158,99,170"
MSaap,74,MSaap,"158,99,170"
MSaaa,75,MSaaa,"158,99,170"
E,76,E,"158,99,170"
Ea,77,Ea,"158,99,170"
Ear,78,Ear,"158,99,170"
Eara,79,Eara,"158,99,170"
Earp,80,Earp,"158,99,170"
Eal,81,Eal,"158,99,170"
Ealp,82,Ealp,"158,99,170"
Eala,83,Eala,"158,99,170"
Ep,84,Ep,"158,99,170"
Epr,85,Epr,"158,99,170"
Eprp,86,Eprp,"158,99,170"
Epra,87,Epra,"158,99,170"
Epl,88,Epl,"158,99,170"
Eplp,89,Eplp,"158,99,170"
Epla,90,Epla,"158,99,170"
C,91,C,"158,99,170"
Cp,92,Cp,"158,99,170"
Cpp,93,Cpp,"158,99,170"
Cppa,94,Cppa,"158,99,170"
Cppp,95,Cppp,"158,99,170"
Cpa,96,Cpa,"158,99,170"
Cpap,97,Cpap,"158,99,170"
Cpaa,98,Cpaa,"158,99,170"
Ca,99,Ca,"158,99,170"
Caa,100,Caa,"158,99,170"
Caap,101,Caap,"158,99,170"
Caaa,102,Caaa,"158,99,170"
Cap,103,Cap,"158,99,170"
Capp,104,Capp,"158,99,170"
Capa,105,Capa,"158,99,170"
P3,106,P3,"158,99,170"
P4,107,P4,"158,99,170"
D,108,D,"158,99,170"
Dp,109,Dp,"158,99,170"
Dpa,110,Dpa,"158,99,170"
Dpp,111,Dpp,"158,99,170"
Da,112,Da,"158,99,170"
Dap,113,Dap,"158,99,170"
Daa,114,Daa,"158,99,170"
